"Time","HandlingTime","SpaceClearanceRate"
0,0.25,0.04
1,0.24413593910481163,0.04089037751709646
2,0.2386598720075814,0.041790351201967516
3,0.23357021355363064,0.04269239019196933
4,0.22887165199100595,0.04358958039077099
5,0.22448861971704656,0.04447772960029016
6,0.2202677024948318,0.04535701146789093
7,0.2160299583528659,0.04623200379075672
8,0.21163991599341997,0.04710726631644167
9,0.207104800730926,0.047983475875899774
10,0.202515409711173,0.04885873017898607
11,0.19799278998772588,0.04972919242562806
12,0.1936120585184799,0.05059172223478738
13,0.18932359652209782,0.051447454650054056
14,0.1850246086848221,0.052300437755936506
15,0.18062803859656468,0.05315488322135116
16,0.1761261712187804,0.054011647747932996
17,0.17161927258384177,0.05486661009339493
18,0.16720503384656632,0.05571512366388151
19,0.16289745271119205,0.056555923252076985
20,0.15861255199194074,0.05739313440330668
21,0.15423225265377347,0.05823331623710805
22,0.14974499178558062,0.05907750380621873
23,0.14524024667552077,0.05992114899858413
24,0.14083458018007897,0.06075751278566462
25,0.13654627683733767,0.061585030275460716
26,0.13225202768759703,0.06241104324346542
27,0.12783994853751707,0.06324274388412747
28,0.12331737913161707,0.06408004132372984
29,0.11882915246356687,0.06491401137204694
30,0.11448332438123773,0.06573729595348625
31,0.11021144849984547,0.06655400994053365
32,0.10586277582584261,0.0673745629148794
33,0.1013623537866579,0.06820444538072457
34,0.09683705011439347,0.06903511987887771
35,0.0924335441483682,0.06985615301246027
36,0.08814793985451419,0.0706673005203562
37,0.08381882319240314,0.07148046389179852
38,0.07934442687619274,0.0723034797014243
39,0.07481583365284548,0.07312978201266308
40,0.07038625654664164,0.07394771842093693
41,0.06607321235223247,0.07475556556564572
42,0.06172688970989638,0.07556503385659544
43,0.057262648604893766,0.07638304834260702
44,0.05275002426680511,0.07720425367603771
45,0.04832476573067239,0.07801767144192075
46,0.043978424575786795,0.07882376557428272
47,0.039597654617275095,0.07963190474136192
48,0.03512997356796018,0.0804466486896442
49,0.030647081642801072,0.08126207358147491
50,0.026229006589200948,0.08207133991729693
